team,player_name
Eric,Kylian Mbappe
Eric,Virgil Van Dijk
Eric,Cancelo
Eric,Trent Alexander-Arnold
Eric,Luka Modric
Eric,Diogo Jota
Eric,Riyad Mahrez
Eric,Casemiro
Eric,Paolo Dybala
Eric,Leroy Sane
Eric,Toni Kroos
Eric,Gianluigi Donnarumma
Eric,Federico Chiesa
Eric,Christian Eriksen
Eric,Zlatan Ibrahimovic
Eric,Luis Suarez
Jon,Kevin DeBruyne
Jon,N'golo Kante
Jon,Christopher Nkunku
Jon,Milan Skriniar
Jon,Robert Lewandowski
Jon,Lucas Hernandez
Jon,Ousmane Dembele
Jon,Jules Kounde
Jon,Matthijs De Ligt
Jon,Bruno Fernandes
Jon,Harry Kane
Jon,Kostic
Jon,Alisson
Jon,Osiman
Jon,Angel DiMaria
Dale,Lionel Messi
Dale,Cristiano Ronaldo
Dale,Kingsley Coman
Dale,Leon Goretzka
Dale,Andrew Robertson
Dale,David Alaba
Dale,Eder Militao
Dale,Carvajal
Dale,Phil Foden
Dale,Lorenzo Insigne
Dale,Thibaut Courtois
Dale,Yannick Carrasco
Dale,Serge Gnabry
Dale,Joao Felix
Dale,Jordi Alba
Dale,Gareth Bale
Chris,Neymar
Chris,Heung min Son
Chris,Kalidou Koulibaly
Chris,Raheem Sterling
Chris,Kyle Walker
Chris,Benjamin Mendy
Chris,Paul Pogba
Chris,Sergio Ramos
Chris,Pierre-Emerick Aubameyang
Chris,Rodri
Chris,Memphis Depay
Chris,Dries Mertens
Chris,Jan Oblak
Chris,Diabi
Chris,Ederson
Russell,Erling Haaland
Russell,Sadio Mane
Russell,Antonio Rudiger
Russell,Frenkie de Jong
Russell,Alphonso Davies
Russell,Marcos Llorente
Russell,Fikayo Tomori
Russell,Raphael Varane
Russell,Leonardo Spinazzola
Russell,Emory
Russell,Martin Odegaard
Russell,Manuel Neuer
Russell,Federico Valverde
Russell,Thiago
Russell,Madrazo
Leif,Vinícius
Leif,Mohamed Salah
Leif,Karim Benzema
Leif,Marquinos
Leif,Joshua Kimmich
Leif,Achraf Hakimi
Leif,Ruben Dias
Leif,Rafael Leao
Leif,Fabinho
Leif,Anthony Martial
Leif,Bernardo Silva
Leif,Pedri
Leif,Lautaro Martinez
Leif,James
Leif,Keylor Navas
Leif,Acuna